resto_id,name,location,address,category_region,category_type,category_cuisine,category_price,category_wifi,rating,vote,desc,url,date_taken,status
82,Starbucks Coffee Braga,Braga,"Braga Citywalk, Jl. Braga No. 99-101, Braga, Bandung",internasional,cafe,western,80000,yes,3.8,25,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/starbucks-coffee-braga,5/14/2020,FIX
83,Sushi Tei,Buahbatu,"Trans Studio Mall, Lantai Ground, Jl. Jendral Gatot Subroto No. 289, Buahbatu, Bandung",internasional,resto,jepang,125000,yes,4.1,91,internasional resto asia jepang sushi wifi,https://www.zomato.com/bandung/sushi-tei-buahbatu,5/14/2020,FIX
84,Marugame Udon,Buahbatu,"Trans Studio Mall, Lantai 2, Jl. Jendral Gatot Subroto No. 289, Buahbatu, Bandung",internasional,resto,jepang,60000,yes,4,52,internasional resto asia jepang ramen wifi,https://www.zomato.com/bandung/marugame-udon-buahbatu,5/14/2020,FIX
85,Mie Bakso Akung,Buahbatu,"Jl. Lodaya No. 123, Buahbatu, Bandung",lokal,resto,,40000,no,4.4,184,lokal resto jajanan bakmi bakso,https://www.zomato.com/bandung/mie-baso-akung-buahbatu,5/14/2020,FIX
86,Sambal Khas Karmila,Buahbatu,"Jl. Buah Batu No. 167, Buahbatu, Bandung",lokal,resto,,60000,no,3.5,33,lokal resto sunda ayam geprek,https://www.zomato.com/bandung/sambal-khas-karmila-buahbatu,5/14/2020,FIX
87,Kinokimi Coffee,Buahbatu,"Jl. Buah Batu No. 28, Buahbatu, Bandung",internasional,cafe,western,60000,no,4,34,internasional cafe jajanan western kopi cemilan nyaman,https://www.zomato.com/bandung/kinokimi-coffee-buahbatu,5/14/2020,FIX
88,Suis Butcher Steak House Buahbatu,Buahbatu,"Trans Studio Mall, Lantai 2, Jl. Jendral Gatot Subroto No. 289, Buahbatu, Bandung",internasional,resto,western,150000,yes,3.5,33,internasional resto western steak grill wifi,https://www.zomato.com/bandung/suis-butcher-steak-house-buahbatu,5/14/2020,FIX
89,KartikaSari Buahbatu,Buahbatu,"Jl. Buah Batu No. 165A, Buahbatu, Bandung",campur,bakery,,75000,yes,3.7,18,internasional lokal bakery cemilan wifi,https://www.zomato.com/bandung/kartikasari-buahbatu,5/14/2020,FIX
90,Mih Kocok Kang Dadeng,Buahbatu,"Jl. KH. Ahmad Dahlan No. 67, Buahbatu, Bandung",lokal,resto,,40000,no,4,52,lokal resto jajanan bakmi bakso,https://www.zomato.com/bandung/mih-kocok-kang-dadeng-buahbatu,5/14/2020,FIX
91,Starbucks Coffee Buahbatu,Buahbatu,"Trans Studio Mall, Lantai Ground, Jl. Jendral Gatot Subroto No. 289, Buahbatu, Bandung",internasional,cafe,western,80000,yes,3.7,22,internasional cafe western kopi teh cemilan wifi,https://www.zomato.com/bandung/starbucks-coffee-1-buahbatu,5/14/2020,FIX
92,AA Bistik Astana Anyar,Buahbatu,"Koenyah Food Court, Jl. Kliningan No. 18, Buahbatu, Bandung",lokal,resto,,25000,yes,3.9,45,lokal resto jajanan jawa steak wifi,https://www.zomato.com/bandung/aa-bistik-astana-anyar-buahbatu,5/14/2020,FIX
93,Armenti Coffee House,Buahbatu,"OSA Quarter, Jl. Reog No. 6A, Buah Batu, Bandung",internasional,cafe,,75000,no,3.9,38,internasional lokal western cafe kopi nyaman,https://www.zomato.com/bandung/armenti-coffee-house-buahbatu,5/14/2020,FIX
94,Mie Merapi,Buahbatu,"Jl. Buah Batu No. 172, Buahbatu, Bandung",campur,resto,,30000,no,3.4,14,internasional lokal resto asia bakmi,https://www.zomato.com/bandung/mie-merapi-buahbatu,5/14/2020,FIX
95,Shihlin,Buahbatu,"Trans Studio Mall, Lantai 2, Straits Kitchen, Jl. Gatot Subroto No. 289, Buahbatu, Bandung",internasional,jajanan,chinese,45000,yes,3.6,19,internasional jajanan asia chinese cemilan wifi,https://www.zomato.com/bandung/shihlin-buahbatu,5/14/2020,FIX
96,Rumah Makan Padang Bu Mus,Buahbatu,"Jl. Buah Batu No. 182, Buahbatu, Bandung",lokal,resto,padang,35000,no,3.7,15,lokal resto padang,https://www.zomato.com/bandung/rumah-makan-padang-bu-mus-buahbatu,5/14/2020,FIX
97,Ta Wan Buahbatu,Buahbatu,"Trans Studio Mall, Lantai 2, Jl. Jendral Gatot Subroto No. 289, Buahbatu, Bandung",internasional,resto,chinese,75000,no,3.5,12,internasional resto asia chinese bubur,https://www.zomato.com/bandung/ta-wan-buahbatu,5/14/2020,FIX
98,Suis Butcher Steak House Andir,Andir,"23 Paskal, Jl. Pasirkaliki No. 25-27, Bandung, Andir, Bandung",internasional,resto,,150000,no,3.2,4,internasional resto western steak grill,https://www.zomato.com/bandung/suis-butcher-steak-house-andir,5/14/2020,FIX
99,Charm Thai,Andir,"Paskal Hyper Square, Blok A No. 11-12, Jl. Pasirkaliki, Andir, Bandung",internasional,resto,thai,60000,yes,3.7,16,internasional resto asia thai wifi,https://www.zomato.com/bandung/charm-thai-andir,5/14/2020,FIX
100,Sate DJ,Andir,"Jl. Jend. Sudirman, Andir, Bandung",lokal,resto,,60000,no,4.2,121,lokal resto jajanan sate,https://www.zomato.com/bandung/sate-dj-andir,5/14/2020,FIX
101,Martabak Nikmat Andir,Andir,"Jl. Jend. Sudirman No. 413, Andir, Bandung",lokal,jajanan,,50000,no,4.6,191,lokal jajanan martabak cemilan,https://www.zomato.com/bandung/martabak-nikmat-andir-andir,5/14/2020,FIX
102,Mie Rica Andir,Andir,"Paskal Hyper Square, Blok B70, Jl. Pasirkaliki, Andir, Bandung",lokal,resto,,35000,no,3.9,53,lokal resto jajanan bakmi bakso babi,https://www.zomato.com/bandung/mie-rica-andir,5/14/2020,FIX
103,Wingstop,Andir,"23 Paskal, Lantai 1, Jl. Pasirkaliki No. 25-27, Andir, Bandung",internasional,resto,western,60000,no,4,52,internasional resto jajanan western amerika fast food,https://www.zomato.com/bandung/wingstop-andir,5/14/2020,FIX
104,KARE Curry House,Andir,"Paskal Hyper Square, Blok A29, Jl. Pasirkaliki, Andir, Bandung",internasional,resto,jepang,75000,yes,4.1,122,internasional resto asia jepang kari wifi,https://www.zomato.com/bandung/kare-curry-house-andir,5/14/2020,FIX
105,Genki Sushi,Andir,"23 Paskal, Jl. Pasirkaliki No. 25-27, Andir, Bandung",internasional,resto,jepang,125000,no,3.9,99,internasional resto asia jepang sushi,https://www.zomato.com/bandung/genki-sushi-1-andir,5/14/2020,FIX
106,Shabu Gin,Andir,"23 Paskal, Jl. Pasirkaliki No. 25-27, Andir, Bandung",internasional,resto,jepang,150000,no,3.5,54,internasional resto asia jepang buffet,https://www.zomato.com/bandung/shabu-ghin-andir,5/14/2020,FIX
107,Carl's Jr.,Andir,"23 Paskal, Jl. Pasirkaliki No. 25-27, Bandung, Andir, Bandung",internasional,resto,western,75000,no,4,39,internasional resto westen amerika fast food,https://www.zomato.com/bandung/carls-jr-andir,5/14/2020,FIX
108,Justus Steak House Andir,Andir,"23 Paskal, Lantai 3, Jl. Paskirkaliki No. 25-27, Bandung, Andir, Bandung",internasional,resto,western,125000,yes,3.8,19,internasional resto western steak wifi,https://www.zomato.com/bandung/justus-steak-house-andir,5/14/2020,FIX
109,Starbucks Coffee Andir,Andir,"23 Paskal, Jl. Pasirkaliki No. 25-27, Bandung, Andir, Bandung",internasional,cafe,western,80000,no,3.9,21,internasional cafe western kopi teh cemilan nyaman,https://www.zomato.com/bandung/starbucks-coffee-andir,5/14/2020,FIX
110,Batagor Abun,Andir,"Paskal Food Market, Jl. Pasir Kaliki No. 25-27, Andir, Bandung",lokal,jajanan,sunda,40000,yes,3.2,6,lokal jajanan sunda cemilan batagor wifi,https://www.zomato.com/bandung/batagor-abun-andir,5/14/2020,FIX
